id;ort;entfernung;haltegrund;gleis;ausstieg;gps;ansage;end_ansage;start_ansage;via_ansage;stop_ansage;stop_ansage_mode;zugziel;entwerter_1;entwerter_2;zoneninfo;automat_10;attribute;sprache_1;sprache_2;sprache_3;kurs;zieltexte;liniennummer;gattung;line_marker;ds_010;linienansage;spurkranz;sk_dauer;sk_boogie;prm_tur;tursperrung
1;Burg;Technician systems Chips;Strategist Fresh e-commerce;Virginia object-oriented;state primary Soft;navigate viral Metrics;Phased Mouse architectures;US Table;Extended;Awesome Outdoors;Avon Executive;Usability;invoice;port Markets;Representative;Applications white toolset;yellow Keys;applications;Pizza Computers;lime;Marketing;transmitter;incentivize Director;connecting IB port;Research Rubber;online Versatile;action-items yellow;Arkansas Frozen;facilitate EXE;monitor;Berkshire solutions Chair;Fantastic;Kids synthesizing program
2;Manager;Account;Circles;Mill redundant efficient;Agent Officer Kroon;deposit Kyat Bedfordshire;Global Triple-buffered;protocol orange green;calculating black;white;Beauty Outdoors;Borders Small RSS;Carolina Walk;Plastic;quantify Automotive deliverables;Valley Operations;hardware Concrete tangible;Rubber payment Bedfordshire;synthesize;Rubber;Concrete;Product Games;users Account purple;Pizza Moldova exploit;Forward Associate Organic;Refined;Bedfordshire Awesome;Frozen redundant;Mission distributed indexing;Coves bypassing Fiji;Practical;sensor index;Guatemala digital
3;National;Lead Plastic eyeballs;Georgia Borders;interface;Borders;compressing Cross-group Licensed;Direct quantifying;bottom-line generate;Shoes;1080p;Bacon blue;withdrawal;blockchains Analyst Chips;Applications RAM;orchid Sleek Pa'anga;generating Keyboard;global Borders;Account;Jamahiriya Money;back-end;e-business;system Ergonomic;Brand deposit architecture;niches Account;Rustic;Operations Markets Renminbi;communities quantify;bluetooth Wyoming e-services;cross-platform Central Sausages;mint compressing;ADP CFA;Cambridgeshire hacking deliver;Gorgeous Ireland Compatible
4;card Shoes;solution-oriented grey;Home Wall;architect hacking;Inverse Berkshire;withdrawal District;payment alarm;parse white Manager;Clothing hacking;Accounts;orchid Idaho Granite;Greece Aruban calculate;feed Portugal matrix;Sausages pixel Way;Uzbekistan Credit;Rustic bandwidth-monitored Product;Washington;bleeding-edge Implementation models;Officer navigating;Jamaica website Refined;Wooden Arkansas;Plastic hardware quantifying;Generic;Car Flat Frozen;Keyboard;capacitor;Human Fish demand-driven;Awesome;functionalities project transmitter;action-items;deposit Savings;benchmark transition web-enabled;Virginia
5;Shirt gold;Human impactful Tasty;Rupee RSS;Automotive Lilangeni;moratorium Granite;Sleek overriding;Tasty Streets Bike;Honduras Salad;visualize Rapids distributed;Silver;capacitor Towels SCSI;withdrawal Officer;Account robust;IB;Down-sized Nepal utilize;Response repurpose Cambridgeshire;eyeballs;Dollar;Salad;Maryland;virtual mint Hat;extend JSON;synergistic Unbranded Franc;program e-enable;Rustic initiative yellow;Cambridgeshire Investor Towels;Texas alarm;Tasty;logistical Industrial;morph state Plains;District vortals Tunnel;engage Practical system-worthy;Qatari Burundi
6;Generic;Car Plain Hampshire;mesh Music;payment;States connect Gorgeous;Fresh;Personal standardization GB;compress HTTP Web;maroon Creek;hack Hill;gold copy;solid;drive;global Buckinghamshire;Steel National JSON;Lead;Pre-emptive;Soap;customized calculate exploit;Games Account;Assistant Central haptic;utilize payment;SSL Somali;relationships parse Credit;Global quantifying City;magenta technologies;context-sensitive Gloves;systems hack;withdrawal;transmit Keyboard;Berkshire Steel exploit;Clothing multi-state;Realigned
7;Berkshire;Unbranded Refined;Automotive;empowering Soap Security;Virtual microchip;South Future facilitate;indigo;Cordoba envisioneer;index Assimilated migration;Isle Drive;front-end;International;Chair COM Illinois;Associate Guernsey Ranch;bottom-line Islands;moratorium input;indexing well-modulated;USB Orchestrator;up Auto Director;pixel Dollar copy;green;Accountability;Rustic CFP Tanzania;calculate turquoise;interactive Station generate;Bedfordshire Savings;input Principal Personal;pixel;Argentina Table;incremental Sleek;Manor Automotive feed;convergence;frictionless methodologies Soft
8;Michigan index;bandwidth;Consultant Planner;deliverables pink Lock;collaboration;transmit Wallis Chair;calculating FTP;leading-edge Iowa;Coordinator;Alaska RSS Fantastic;platforms;Creative Steel;Michigan;Clothing;Via invoice;Peso Bike;transmit Developer Account;Lempira;compressing repurpose Lead;Chicken Administrator interfaces;multi-byte Program mint;quantify SMTP enhance;Forint Computer withdrawal;orchid;Pants Court;Handmade interface RSS;Sharable;leading-edge;Car;purple Consultant;transmitting Rupiah synthesizing;Agent;engineer Cambridgeshire index
9;Borders Account;Course;Wyoming;FTP;online Internal;Rubber withdrawal Bike;Accountability;Borders Arizona;Mills;deposit Grocery Frozen;SQL Fresh;TCP Mayotte;Lead optical;Computer;1080p sky Hat;Intelligent;Buckinghamshire wireless cohesive;quantify;Specialist;Christmas;up Account Soft;backing grey;killer extranet;Berkshire experiences dynamic;Checking;Borders;Executive;seamless;compressing Identity multimedia;Tuna Keyboard;Shirt;Computer;Morocco Pizza
10;Internal Soft;Concrete;reintermediate;EXE override;Islands;XSS Drives;Macao encoding;reboot up;SMTP;Bacon Account client-driven;Guam;SSL software;Well payment invoice;magnetic Berkshire Car;Direct generate;initiatives;Quality;Designer Indian payment;Mouse Toys;feed;global Refined;Pennsylvania Mexico;driver Bike Awesome;HTTP;Dynamic efficient primary;transmitting;Metal Cheese;Skyway Berkshire;sensor collaborative Future;Circle PCI Fresh;optical Granite National;content customer;Home
