id;titel;zugnummer;znr_beschreibung;variante;tagesart;umlauf;umlaufindex
1;Guadeloupe Table mesh;dedicated Graphical paradigm;Agent payment;cultivate Avon;Cambridgeshire;benchmark content impactful;world-class
2;architect silver;Guinea-Bissau calculating Cotton;scalable Security;Agent;bypass Account;invoice middleware impactful;maximize Assistant
3;projection back-end;Plains;Rubber Infrastructure strategize;groupware;reboot;Division Response;challenge navigating
4;Idaho Realigned;copying Streamlined driver;extensible executive;Handmade CFA;Buckinghamshire IB;Wooden;Gardens Practical moratorium
5;quantify Team-oriented;open-source;neural solutions Ringgit;Legacy Towels Future;Guinea Future bifurcated;COM Wooden Saint;Wyoming
6;Investor;parallelism lavender Shirt;monitoring hard;RSS;compress emulation;Grass-roots Steel;Kazakhstan
7;Ramp Wooden cultivate;Buckinghamshire indexing;copy Gorgeous;capacitor open;Intelligent Identity digital;strategic;Steel
8;Loop digital strategy;Designer;cross-platform;Franc orange;service-desk holistic interactive;Monaco;hacking Brooks
9;cross-media panel;synthesizing;Avon;Integration;payment killer Account;applications SMTP Ameliorated;Applications transmitter Lithuanian
10;withdrawal;encryption Handcrafted Alaska;Frozen;Alabama Strategist Avon;empower attitude indexing;Fresh;Metal Refined pricing
